Mw,Rrup,log(Rrup),VS30,focal_depth,eq_name,eq_id
4.99,108.83,4.68978703170797,2000.0,2000.0,AuSableForks_2002-04-20,550.0
4.99,174.92,5.16432872654472,345.2,345.2,AuSableForks_2002-04-20,552.0
4.99,185.4,5.2225156531317545,1692.0,1692.0,AuSableForks_2002-04-20,555.0
4.99,187.85,5.235643772019977,500.0,500.0,AuSableForks_2002-04-20,556.0
4.99,431.53,6.0673370330198315,403.0,403.0,AuSableForks_2002-04-20,557.0
4.99,485.38,6.18493208931219,1000.0,1000.0,AuSableForks_2002-04-20,558.0
4.99,3509.94,8.163354222296713,1700.0,1700.0,AuSableForks_2002-04-20,559.0
4.99,430.48,6.064900865181164,2000.0,2000.0,AuSableForks_2002-04-20,560.0
4.99,1245.52,7.127308392381419,2000.0,2000.0,AuSableForks_2002-04-20,561.0
4.99,461.3,6.134048590563775,415.0,415.0,AuSableForks_2002-04-20,564.0
4.99,518.97,6.251846078026995,404.0,404.0,AuSableForks_2002-04-20,567.0
4.99,1776.88,7.4826142963302535,2000.0,2000.0,AuSableForks_2002-04-20,568.0
4.99,512.14,6.238598025162288,2000.0,2000.0,AuSableForks_2002-04-20,570.0
4.99,379.42,5.938643770924399,1137.0,1137.0,AuSableForks_2002-04-20,572.0
4.99,82.43,4.411949448325136,298.7,298.7,AuSableForks_2002-04-20,573.0
4.99,183.72,5.213412859457592,777.2,777.2,AuSableForks_2002-04-20,574.0
